12:00 + Que horas são?	12:00	Que horas são?	É meio-dia			Português::Curso::A1 Português::Vocabulario::Calendario::Horas::Que_horas_sao?
12:30 + Que horas são?	12:30	Que horas são?	É meio-dia e meia			Português::Curso::A1 Português::Vocabulario::Calendario::Horas::Que_horas_sao?
00:00 + Que horas são?	00:00	Que horas são?	É meia-noite			Português::Curso::A1 Português::Vocabulario::Calendario::Horas::Que_horas_sao?
12:00 PM + Que horas são?	12:00 PM	Que horas são?	É meio-dia			Português::Curso::A1 Português::Vocabulario::Calendario::Horas::Que_horas_sao?
12:30 PM + Que horas são?	12:30 PM	Que horas são?	É meio-dia e meia			Português::Curso::A1 Português::Vocabulario::Calendario::Horas::Que_horas_sao?
12:00 AM + Que horas são?	12:00 AM	Que horas são?	É meia-noite			Português::Curso::A1 Português::Vocabulario::Calendario::Horas::Que_horas_sao?
12:30 AM + Que horas são?	12:30 AM	Que horas são?	É meia-noite e meia			Português::Curso::A1 Português::Vocabulario::Calendario::Horas::Que_horas_sao?
01:00 + Que horas são?	01:00	Que horas são?	É uma hora			Português::Curso::A1 Português::Vocabulario::Calendario::Horas::Que_horas_sao?
02:00 + Que horas são?	02:00	Que horas são?	São duas horas			Português::Curso::A1 Português::Vocabulario::Calendario::Horas::Que_horas_sao?
01:00 AM + Que horas são?	01:00 AM	Que horas são?	É uma hora			Português::Curso::A1 Português::Vocabulario::Calendario::Horas::Que_horas_sao?
02:00 AM + Que horas são?	02:00 AM	Que horas são?	São duas horas			Português::Curso::A1 Português::Vocabulario::Calendario::Horas::Que_horas_sao?
02:00 PM + Que horas são?	02:00 PM	Que horas são?	São duas			Português::Curso::A1 Português::Vocabulario::Calendario::Horas::Que_horas_sao?
05:15 PM + Que horas são?	05:15 PM	Que horas são?	São cinco e um quarto			Português::Curso::A1 Português::Vocabulario::Calendario::Horas::Que_horas_sao?
10:20 AM + Que horas são?	10:20 AM	Que horas são?	São dez e vinte			Português::Curso::A1 Português::Vocabulario::Calendario::Horas::Que_horas_sao?
08:30 AM + Que horas são?	08:30 AM	Que horas são?	São oito e meia			Português::Curso::A1 Português::Vocabulario::Calendario::Horas::Que_horas_sao?
04:45 PM + Que horas são?	04:45 PM	Que horas são?	São quatro e quarenta e cinco / É um quarto para as cinco			Português::Curso::A1 Português::Vocabulario::Calendario::Horas::Que_horas_sao?
11:40 AM + Que horas são?	11:40 AM	Que horas são?	São onze e quarenta / São vinte para o meio-dia			Português::Curso::A1 Português::Vocabulario::Calendario::Horas::Que_horas_sao?
07:50 PM + Que horas são?	07:50 PM	Que horas são?	São vinte para as oito			Português::Curso::A1 Português::Vocabulario::Calendario::Horas::Que_horas_sao?
03:05 PM + Que horas são?	03:05 PM	Que horas são?	São três e cinco			Português::Curso::A1 Português::Vocabulario::Calendario::Horas::Que_horas_sao?
09:10 AM + Que horas são?	09:10 AM	Que horas são?	São nove e dez			Português::Curso::A1 Português::Vocabulario::Calendario::Horas::Que_horas_sao?
06:55 PM + Que horas são?	06:55 PM	Que horas são?	São sete horas / São cinco para as sete			Português::Curso::A1 Português::Vocabulario::Calendario::Horas::Que_horas_sao?
02:15 PM + Que horas são?	02:15 PM	Que horas são?	São duas e quinze / São quinze para as três			Português::Curso::A1 Português::Vocabulario::Calendario::Horas::Que_horas_sao?
08:25 AM + Que horas são?	08:25 AM	Que horas são?	São oito e vinte e cinco			Português::Curso::A1 Português::Vocabulario::Calendario::Horas::Que_horas_sao?
