1001	Annie Leonhart é baixa, com cabelo loiro curto, olhos azuis penetrantes e um nariz reto.	Annie Leonhart<br><img src="Annie_Face.JPG">		Português::Vocabulario::Frases Português::Vocabulario::Pessoas::Descripçao::AOT
1002	Armin Arlert tem estatura baixa, cabelo loiro curto e olhos azuis.	Armin Arlert<br><img src="Armin_Face.JPG">		Português::Vocabulario::Frases Português::Vocabulario::Pessoas::Descripçao::AOT
1003	Bertholdt Hoover é alto, com cabelo castanho-escuro curto e olhos castanhos.	Bertolt Hoover<br><img src="Bertholdt_Face_01.JPG">		Português::Vocabulario::Frases Português::Vocabulario::Pessoas::Descripçao::AOT
1004	Connie Springer é de estatura média, com cabelo castanho curto e olhos castanhos.	Connie Springer<br><img src="Connie_Caracter.JPG">		Português::Vocabulario::Frases Português::Vocabulario::Pessoas::Descripçao::AOT
1006	Eren Jeager tem estatura média, com cabelo castanho curto, olhos verdes intensos e pele bronceada.	Eren Jaeger<br><img src="Eren_Face.JPG">		Português::Vocabulario::Frases Português::Vocabulario::Pessoas::Descripçao::AOT
1007	Erwin Smith é alto, com cabelo loiro curto e olhos azuis penetrantes. Ele tem sobrancelhas grossas.	Erwin Smith<br><img src="Erwin_Face_02.JPG">		Português::Vocabulario::Frases Português::Vocabulario::Pessoas::Descripçao::AOT
1008	Hange Zoe tem estatura média, cabelo castanho claro num estilo desalinhado e usa óculos.	Hange Zoë<br><img src="Hange_Face.JPG">		Português::Vocabulario::Frases Português::Vocabulario::Pessoas::Descripçao::AOT
1009	Jean Kirstein tem cabelo castanho curto e olhos castanhos claros. Ele esta sourrindo	Jean Kirstein<br><img src="Jean_Character.JPG">		Português::Vocabulario::Frases Português::Vocabulario::Pessoas::Descripçao::AOT
1010	Kenny Ackerman é alto, com cabelo castanho-escuro e uma barba por fazer. Ele usa chapéu e um casaco longo.	Kenny Ackermann<br><img src="Kenny_Clothing.JPG">		Português::Vocabulario::Frases Português::Vocabulario::Pessoas::Descripçao::AOT
1011	Krista Lenz é muito baixa, tem cabelo loiro longo e olhos azuis gentis.	Krista Lenz<br><img src="Krista_Face.JPG">		Português::Vocabulario::Frases Português::Vocabulario::Pessoas::Descripçao::AOT
1005	Levi tem cabelo preto curto e liso com corte inferior raspado (undercut) e olhos estreitos azul-acinzentados com olheiras. Ele tem uma pele muito clara e um rosto aparentemente jovem.	Levi Ackerman<br><img src="Levi_Face.JPG">		Português::Vocabulario::Frases Português::Vocabulario::Pessoas::Descripçao::AOT
1014	Mikasa Ackerman tem cabelos curtos, lisos e muito escuros. Ele tem olhos cinza escuros e uma cicatriz sob o olho direito. Ele sempre usa um cachecol vermelho.	Mikasa Ackerman<br><img src="Mikasa_Face.JPG">		Português::Vocabulario::Frases Português::Vocabulario::Pessoas::Descripçao::AOT
1015	Reiner Braun é alto, com cabelo loiro curto e espetado.	Reiner Braun<br><img src="Reiner_Face.JPG">		Português::Vocabulario::Frases Português::Vocabulario::Pessoas::Descripçao::AOT
1016	Sasha Blouse é de estatura média, com cabelo castanho e olhos castanhos. Ela adora comer e é boa em tiro com arco.	Sasha Blouse<br><img src="Sasha_Face.JPG">		Português::Vocabulario::Frases Português::Vocabulario::Pessoas::Descripçao::AOT
1017	Ymir é alta, com cabelo castanho curto e sardas distintas no rosto. Tem uma expressão desafiadora e confiante. Ela é durona e arrogante à primeira vista, mas no fundo é nobre.	Ymir<br><img src="Ymir_Face.JPG">		Português::Vocabulario::Frases Português::Vocabulario::Pessoas::Descripçao::AOT
1013	Marco Bott é de estatura média, com cabelo castanho-escuro curto e sardas distintas no rosto.	Marco Bott<br><img src="marco_rostro.JPG">		Português::Vocabulario::Frases Português::Vocabulario::Pessoas::Descripçao::AOT
